Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
"Natural language, CT",Multimodal,Merlin,2024-06,3D abdominal CT vision-language model using EHR and reports for 692 phenotype predictions,https://pmc.ncbi.nlm.nih.gov/articles/PMC11230513/,Transformer (Medical),Encoder-Decoder,"Merlin, a novel 3D Vision-Language Model (VLM) designed to automate the interpretation of abdominal CT scans. It addresses the growing volume of complex imaging studies and the current shortage of radiologists.",Radiology image classification,121
"Natural language, CT",Multimodal,BiomedParse,2024-11,Joint segmentation detection and recognition across 9 biomedical modalities using Natural language prompts (excludes mIF),https://doi.org/10.1038/s41592-024-02499-w,ViT + Decoder (Segmentation),Encoder-Decoder,"BiomedParse uses ViT encoder with decoder for biomedical image segmentation across 9 modalities. Encoder-decoder architecture for joint detection, segmentation, and recognition. (Microsoft Research, 2024)",Perplexity evaluation; Generation quality assessment,137
"Natural language, CT",Multimodal,RadFM,2025-08,"A radiology foundation model that integrates Natural languageual inputs with 2D and 3D medical imaging to perform diverse radiologic tasks such as diagnosis, visual question answering, report generation, and reasoning‚Äîwithin a unified multimodal AI framework.",https://www.nature.com/articles/s41467-025-62385-7,ViT + LLM (Multimodal Radiology FM),Encoder-Decoder,"RadFM is a radiology foundation model integrating 2D and 3D medical imaging with text. Uses MedCLIP/3D encoders feeding into LLaMA decoder for report generation and VQA. (Wu et al., Nature Communications 2025)",2D/3D radiology benchmarks; Report generation; VQA; Multi-modal understanding,144
"Natural language, CT",Multimodal,Med-Gemini,2024-05,Visual Question Answering (VQA) and reasoning,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders","Melanoma diagnosis, lesion change detection",319
"Natural language, CT",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,"Medical visual question answering on CT images covering head, abdomen, and chest regions.","Diagnosis, few-shot transfer.",443
"Natural language, CT",Multimodal,BiomedCLIP,2025-01,"explicitly a biomedical vision-language foundation model; training data covers microscopy and histology, and the provided label set includes hematoxylin and eosin histopathology",https://arxiv.org/abs/2303.00915,ViT-B/16 + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"BiomedCLIP uses CLIP-style architecture with PubMedBERT text encoder and ViT-B/16 image encoder. Dual encoder design with contrastive learning on PMC-15M image-text pairs from PubMed Central. (Zhang et al., 2023)",PMC-15M benchmark; Zero-shot classification; Image-Natural language retrieval; Medical VQA,498
"Natural language, ECG",Multimodal,ECG-LM,2025-02,"Uses a dedicated ECG encoder to transform raw 12-lead ECG signals into token-level representations aligned with a frozen biomedical LLM; supports text ECG joint pretraining, ECG-QA, and zero-shot ECG interpretation tasks.",https://spj.science.org/doi/10.34133/hds.0221,CNN-based ECG Encoder + LLM,Encoder-Decoder,"ECG-FM is a transformer-based ECG foundation model that learns physiologically meaningful representations via hybrid self-supervision, capturing both low-level waveform morphology and higher-order cardiac semantics. The pretrained encoder supports efficient finetuning and linear probing across diverse ECG interpretation and cardiac function tasks, with strong cross-dataset generalization.","ECG diagnostic classification (diagnostic / rhythm / form), ECG question answering, zero-shot disease detection",21
"Natural language, ECG",Multimodal,MEIT,2025-07,First multimodal ECG instruction tuning framework for report generation; benchmarked with 9 LLMs on 800K+ ECG reports,https://aclanthology.org/2025.findings-acl.749/,ECG Encoder + LLM Backbone with Modality Alignment,Encoder-only,"MEIT (Multimodal ECG Instruction Tuning) injects ECG embeddings into the self-attention layers of decoder-only LLMs via a lightweight concatenation-based alignment mechanism, enabling instruction-following, autoregressive ECG report generation that aligns with clinical language and expert annotations.","ECG report generation quality, zero-shot cross-dataset transfer, robustness to signal perturbation, alignment with human expert evaluation",25
"Natural language, ECG",Multimodal,ECG-Chat,2025-04,Multimodal LLM using contrastive learning to align ECG waveforms with cardiology reports; zero-shot retrieval,https://arxiv.org/abs/2408.08849,ECG ViT Encoder + MLP Adapter + Vicuna-13B,Encoder-Decoder,"ECG-Chat is a multimodal large language model for cardiology that integrates a contrastively pretrained ECG encoder with a decoder-only LLM. ECG features are embedded as tokens and injected into the LLM via a projection layer, enabling long-form ECG diagnostic report generation, ECG question answering, and conversational interaction. The system further incorporates diagnosis-driven prompting and GraphRAG to reduce hallucinations and improve clinical fidelity.","ECG interpretation (disease, rhythm, form classification); ECG text retrieval; long-form ECG report generation; multi-turn ECG dialogue",35
"Natural language, ECG",Multimodal,ECG Semantic Integrator,2024-10,Multimodal contrastive pretraining on 660K ECG-Natural language pairs using RAG-based LLM pipeline for Natural language generation,https://arxiv.org/abs/2405.19366,Transformer (Semantic Integration),Encoder-Decoder,"ESI is an ECG foundation model pretrained using ECG text pairs generated by a retrieval-augmented LLM pipeline (CQA). It jointly optimizes contrastive alignment and captioning losses to integrate waveform patterns, demographic context, and clinical semantics, producing robust ECG embeddings for zero-shot inference, linear probing, and fine-tuning.","Arrhythmia diagnosis, zero-shot ECG classification, ECG-based subject identification",39
"Natural language, DNA/RNA",Multimodal,GeneQuery,2024-11,Retrieves/predicts gene-related signals by combining gene text descriptions with learned gene representations; uses an attention-based gene encoder and cross-modal matching to query gene signals.,https://doi.org/10.48550/arXiv.2411.18391,Text/gene encoder + cross-modal matching (retrieval-style),Encoder-only,GeneQuery is presented as a framework to query gene representations using text and learned embeddings (not a generative decoder).,Evaluated on gene-level query/retrieval-style tasks as described in paper.,0
"Natural language, DNA/RNA",Multimodal,GeneGPT,2024-02,Tool-augmented LLM using NCBI Web APIs for genomics question answering via in-conNatural language learning,https://doi.org/10.1093/bioinformatics/btae075,Transformer Decoder (GPT-style),Decoder-only,"GeneGPT uses GPT-style decoder architecture augmented with NCBI API tools for gene-related QA tasks. Based on autoregressive Transformer decoder. (Jin et al., 2023)",Variant effect prediction,221
"Natural language, DNA/RNA",Multimodal,Med-Gemini,2024-05,Reasoning and information extraction,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders","Melanoma screening, risk stratification, phenotype quantification",319
"Natural language, DNA/RNA",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,Genomic variant calling (Truth Challenge V2) as 3-class classification and genomic knowledge extraction.,Differential diagnosis of 128 skin conditions,443
"Natural language, H&E",Multimodal,HistoGPT,2025-05,Vision-language model generating dermatopathology reports from gigapixel whole slide images,https://doi.org/10.1038/s41467-025-60014-x,ViT + GPT (Vision-Language Generative),Encoder-Decoder,HistoGPT uses ViT encoder combined with GPT-style decoder for histopathology image captioning and report generation. Vision-language generative architecture. (2024),Histopathology classification,23
"Natural language, H&E",Multimodal,MedGemma-4B,2025-07,Google's multimodal model supporting histopathology patch interpretation with Natural language,https://arxiv.org/abs/2507.05201,Transformer (Gemma-based LLM),Decoder-only,"MedGemma-4B is based on Gemma 4B decoder-only architecture with medical fine-tuning. Autoregressive Transformer. (Google, 2024)",Histopathology classification,165
"Natural language, H&E",Multimodal,Quilt-Net,2025-01,"Foundation model for pathology morphological understanding, trained on the Quilt-1M dataset.",https://arxiv.org/abs/2306.11207,Vision Encoder + Text Encoder,Dual-Encoder,"Quilt-Net uses ViT encoder architecture trained on QUILT-1M histopathology dataset with contrastive learning. Encoder-only vision model. (Ikezogwo et al., NeurIPS 2023)",Histopathology classification,216
"Natural language, H&E",Multimodal,PathChat,2024-06,Multimodal AI copilot combining UNI encoder with LLM trained on 456K+ pathology instructions,https://doi.org/10.1038/s41586-024-07618-3,ViT + LLM (Multimodal Conversational),Encoder-Decoder,"PathChat is built on LLaVA architecture with UNI vision encoder frozen and LLaMA decoder for conversational pathology AI. Vision embeddings feed into autoregressive language model decoder. (Lu et al., 2024)",Histopathology classification,357
"Natural language, H&E",Multimodal,PLIP,2023-09,First pathology VLM trained on 208K Twitter pathology images with natural language descriptions,https://pubmed.ncbi.nlm.nih.gov/37592105/,ViT-B/32 (CLIP-style VLM),Dual-Encoder,"PLIP (Pathology Language-Image Pretraining) uses CLIP-style dual encoder architecture with ViT-B/32 image encoder and text encoder. Contrastive learning aligns pathology image and text embeddings. (Huang et al., Nature Medicine 2023)",Zero-shot pathology classification; Image-Natural language retrieval; Twitter pathology dataset,687
"Natural language, H&E",Multimodal,CONCH,2024-03,Contrastive vision-language model trained on 1.17M histopathology image-caption pairs,https://pubmed.ncbi.nlm.nih.gov/38504017/,ViT-B/16 + Natural language Encoder (CoCa-style VLM),Encoder-Decoder,"CONCH architecture is based on CoCa (Contrastive Captioners) with three components: image encoder (ViT-B/16), unimodal text encoder, and multimodal text decoder. Trained with both contrastive loss and captioning loss. (Lu et al., Nature Medicine 2024)",Zero-shot classification; Image-Natural language retrieval; Report generation; 15 pathology datasets,742
